Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,162.55805,-18.38345,270.0,bottom
C1,151.1425,-24.0875,180.0,bottom
C10,142.6175,-30.3375,0.0,bottom
C11,153.8925,-74.5875,180.0,bottom
C12,150.8925,-91.8375,180.0,bottom
C13,130.1425,-95.5875,270.0,bottom
C14,124.6425,-77.5875,270.0,bottom
C15,130.3925,-65.0875,0.0,bottom
C2,146.8925,-29.3375,90.0,bottom
C3,144.99555,-34.8375,180.0,bottom
C4,136.24555,-35.0875,90.0,bottom
C5,145.24555,-43.5875,270.0,bottom
C6,144.74555,-45.0875,180.0,bottom
C7,135.6225,-43.5875,0.0,bottom
C8,142.8675,-23.5875,90.0,bottom
C9,141.3675,-26.8375,90.0,bottom
D1,64.687395,-30.224952,100.0,bottom
D10,211.609925,-31.051952,80.0,bottom
D11,213.954999,-30.638452,80.0,bottom
D12,216.300072,-30.224952,80.0,bottom
D13,61.379397,-48.98554,100.0,bottom
D14,63.724471,-49.399039,100.0,bottom
D15,66.069544,-49.812539,100.0,bottom
D16,116.834161,-63.59968,100.0,bottom
D17,119.179235,-64.01318,100.0,bottom
D18,121.524308,-64.426679,100.0,bottom
D19,159.463159,-64.42668,80.0,bottom
D2,67.032469,-30.638452,100.0,bottom
D20,161.808233,-64.01318,80.0,bottom
D21,164.153306,-63.59968,80.0,bottom
D22,214.917923,-49.812539,80.0,bottom
D23,217.262996,-49.39904,80.0,bottom
D24,219.60807,-48.98554,80.0,bottom
D25,58.0714,-67.746127,100.0,bottom
D26,60.416473,-68.159627,100.0,bottom
D27,62.761547,-68.573127,100.0,bottom
D28,113.526163,-82.360268,100.0,bottom
D29,115.871237,-82.773767,100.0,bottom
D3,69.377542,-31.051951,100.0,bottom
D30,118.21631,-83.187267,100.0,bottom
D31,162.771157,-83.187267,80.0,bottom
D32,165.116231,-82.773768,80.0,bottom
D33,167.461304,-82.360268,80.0,bottom
D34,218.225921,-68.573127,80.0,bottom
D35,220.570994,-68.159627,80.0,bottom
D36,222.916068,-67.746128,80.0,bottom
D37,109.632466,-101.188174,100.0,bottom
D38,111.977539,-101.601674,100.0,bottom
D39,114.322612,-102.015174,100.0,bottom
D4,120.142159,-44.839092,100.0,bottom
D40,116.667686,-102.428674,100.0,bottom
D41,164.572131,-102.543148,80.0,bottom
D42,166.917205,-102.129648,80.0,bottom
D43,169.262278,-101.716148,80.0,bottom
D44,171.607352,-101.302649,80.0,bottom
D45,148.3925,-70.5875,40.0,bottom
D46,152.6425,-84.8375,110.0,bottom
